"ID","Nretwitted","orginalOrder","Nretweets"
"sostiti",1,1,0
"OIconversa",8,2,2
"DictadoresSA",2,3,0
"Orion3711N335O",0,4,2
"JCLAUDIO74",1,5,0
"estudiarcursos",0,6,1
"OIenAlicante",4,7,0
"MAITELEAN",0,8,4
"ForbesFlauta",4,9,0
"Guim_Marta",0,10,1
"feliperecto",1,11,0
"FranciscoJosGon",0,12,1
"defotoenfoto",1,13,0
"naylabuccolini",0,14,1
"Maskuko",2,15,0
"Guardiaoscura",0,16,1
"keyser_soce",0,17,1
"DrewAMG46",0,18,1
"marple_j",0,19,1
"TJungpa",4,20,3
"Rbarahona77",4,21,2
"MacaRomeroAl",0,22,1
"SoyActivista",0,23,1
"vvilanovag",0,24,1
"Saludporderecho",0,25,1
"LaraContra",0,26,2
"OIenDonostia",0,27,1
"Rmnhrrcrsp",0,28,1
"tempoecu",0,29,1
"GAFOLITO",0,30,1
"evitagarzon",0,31,1
